Date and Time of Survey happen,How old are you?,  What is your gender?  , How familiar are you with electric cars and their phenomenon?,What is your main source of information about electric cars?  , Have you ever been a passenger in an electric car?, Have you ever driven an electric car?  ,  How likely are you to consider purchasing an electric car in the next 5 years?  ," If you don’t currently own an electric car, what’s the main reason?  ",  What is your general perception of electric cars?  , What factors do you think influence your view on electric cars the most?  , Do you believe electric cars are essential for combating climate change?  ,"If yes, how significant is the impact of electric vehicles on the enviroment?",What do you think would make electric cars more appealing to your generation?, Do you feel that electric cars fit well with your lifestyle and daily needs?  , Do you think electric cars will become the primary type of vehicle in the next 10 years?  , Any additional comments on electric cars and their future?  
2024.10.24. 17:22:58,28-43,Male,1,,,Yes,3,Range anxiety (limited driving distance),2,Technological advancements,Yes,,Increased range (longer battery life),,,"Battery technology revolution, Grid integration and renewable energy"
2024.10.24. 18:09:21,12-17,Male,2,,,Yes,1,"Limited charging infrastructure, Range anxiety (limited driving distance)",2,Technological advancements,Yes,,"Developed charging infrastructure, Increased range (longer battery life), Faster charging times",,,
2024.10.31. 18:05:32,12-17,Female,4,Social media,Yes,No,2,High price,3,"Environmental concerns, Technological advancements",Yes,2,Greater availability of different models and styles,Yes,Yes,
2024.10.31. 18:05:34,12-17,Female,4,Social media,Yes,Yes,5,"Limited charging infrastructure, Lack of information, High price",1,Price,No,5,Faster charging times,No,Yes,
2024.10.31. 18:09:06,12-17,Male,4,"News articles, Social media",No,No,5,no driving license,3,"Environmental concerns, Technological advancements, Availability of charging stations, Price",No,,"Developed charging infrastructure, Greater availability of different models and styles",,Yes,
2024.10.31. 18:21:14,12-17,Female,3,Friends/family,Yes,Yes,4,High price,3,Government incentives,No,,,Yes,Yes,
2024.10.31. 18:35:24,12-17,Male,2,"News articles, Friends/family",Yes,Yes,4,"I prefer gasoline or diesel vehicles, High price",3,"Environmental concerns, Price",No,3,"Developed charging infrastructure, Increased range (longer battery life), Faster charging times, Greater availability of different models and styles",No,No,
2024.10.31. 19:04:25,44+,Male,3,"News articles, Social media",Yes,Yes,4,"Limited charging infrastructure, Range anxiety (limited driving distance), I prefer gasoline or diesel vehicles, High price",4,"Availability of charging stations, Price",No,5,Increased range (longer battery life),No,No,
2024.10.31. 20:20:15,12-17,Male,5,Social media,Yes,No,5,no license and no money,3,Environmental concerns,Yes,3,"Developed charging infrastructure, Increased range (longer battery life), Faster charging times, Greater availability of different models and styles",Yes,No,
2024.10.31. 20:37:14,44+,Male,3,"News articles, Social media, Friends/family",No,No,2,High price,2,"Environmental concerns, Technological advancements, Price",No,,"Developed charging infrastructure, Increased range (longer battery life), Faster charging times",Yes,Yes,
2024.10.31. 21:23:58,12-17,Female,2,Friends/family,Yes,No,1,High price,1,Technological advancements,No,,"Developed charging infrastructure, Increased range (longer battery life)",Yes,Yes,
2024.11.01. 10:21:40,44+,Female,5,News articles,Yes,No,5,Lack of information,4,Social influence/peer pressure,No,5,Greater availability of different models and styles,No,No,
2024.11.03. 20:10:31,12-17,Female,4,Social media,No,No,1,High price,2,Technological advancements,Yes,3,Increased range (longer battery life),Yes,Yes,
2024.11.04. 7:03:43,12-17,Female,3,Personal study,No,No,3,Electric cars are limited in our country,1,Environmental concerns,Yes,2,Developed charging infrastructure,Yes,Yes,
2024.11.04. 8:00:00,12-17,Other,4,Social media,No,No,3,There's no electric car in my country.,2,Environmental concerns,Yes,2,Greater availability of different models and styles,Yes,No,
2024.11.04. 10:29:26,12-17,Female,3,"Social media, Friends/family",No,No,3,"Limited charging infrastructure, Range anxiety (limited driving distance), I prefer gasoline or diesel vehicles, High price",3,Environmental concerns,Yes,4,Faster charging times,No,Yes,
2024.11.04. 13:03:32,12-17,Male,1,"Social media, Car dealerships",Yes,No,1,"Limited charging infrastructure, Range anxiety (limited driving distance)",1,"Environmental concerns, Technological advancements",Yes,1,"Faster charging times, Greater availability of different models and styles",Yes,Yes,
2024.11.04. 13:20:13,28-43,Female,3,"Social media, Friends/family",Yes,No,1,"Lack of information, High price",2,"Environmental concerns, Technological advancements",Yes,2,"Increased range (longer battery life), Faster charging times",Yes,Yes,
